Data;Otwarcie;Zamkniecie;Maks.;Min.;Obrot (mln. zl);Zmiana (%)
02.01.2019;12;12;12;11,2;0,02;0
03.01.2019;12,5;12,45;12,5;12,45;0;3,75
04.01.2019;12,6;12,4;12,6;11,95;0,01;-0,4
07.01.2019;12,4;12,5;12,55;12,4;0,01;0,81
08.01.2019;12,6;12,7;12,7;12,3;0,01;1,6
09.01.2019;12,6;12,7;12,7;12,5;0,01;0
10.01.2019;12,7;12;12,7;12;0,01;-5,51
11.01.2019;12;12,65;12,65;11,75;0,03;5,42
14.01.2019;12,65;12,6;12,65;11,75;0,04;-0,4
15.01.2019;12,35;11,8;12,35;11,6;0,05;-6,35
16.01.2019;11,8;12;12,1;11,8;0,01;1,69
17.01.2019;12,2;12;12,2;11,55;0,01;0
18.01.2019;12;11,9;12;11,55;0,01;-0,83
21.01.2019;11,9;11,9;11,9;11,9;0,01;0
22.01.2019;11,9;11,9;11,9;11,9;0;0
23.01.2019;11,9;11,85;11,9;11,4;0,01;-0,42
24.01.2019;11,9;11,85;11,9;11,55;0;0
25.01.2019;11,9;11,85;11,9;11,85;0;0
28.01.2019;12;11,9;12;11,9;0;0,42
29.01.2019;11,85;12,15;12,15;11,8;0,03;2,1
30.01.2019;12,2;12,5;12,7;12,2;0,04;2,88
31.01.2019;12,7;12,5;12,7;12,5;0;0
01.02.2019;12,7;12,7;12,7;12,55;0;1,6
04.02.2019;12,7;12,7;12,7;12,7;0;0
05.02.2019;12,7;12,95;12,95;12,5;0,01;1,97
06.02.2019;12,95;12,3;12,95;12,1;0,04;-5,02
07.02.2019;12,45;12,3;12,45;12;0,01;0
08.02.2019;12,3;12,6;12,6;12,25;0;2,44
11.02.2019;12,6;11,6;12,6;11,5;0,03;-7,94
12.02.2019;11,6;11,6;11,6;11,3;0,05;0
13.02.2019;11,6;11,6;11,6;11,3;0,01;0
14.02.2019;11,6;11,6;11,6;11,5;0;0
15.02.2019;11,55;11,55;11,55;11,55;0,01;-0,43
18.02.2019;11,5;11,7;11,7;11,5;0,1;1,3
19.02.2019;11,9;11,75;11,9;11,55;0,01;0,43
20.02.2019;12,3;12;12,3;11,8;0,02;2,13
21.02.2019;12;12;12;12;0,01;0
22.02.2019;12;11,8;12;11,6;0,03;-1,67
25.02.2019;11,85;11,4;11,85;11,3;0,06;-3,39
26.02.2019;11,3;11,45;11,5;11,1;0,02;0,44
27.02.2019;11,6;11,2;11,6;10,9;0,06;-2,18
28.02.2019;11,2;11,2;11,2;11,2;0;0
01.03.2019;11,2;11,25;11,25;10,9;0,01;0,45
04.03.2019;11,65;11,45;11,65;11;0,01;1,78
05.03.2019;11,45;11,45;11,45;11,45;0,01;0
06.03.2019;11,5;11,4;11,5;11,4;0,01;-0,44
07.03.2019;11,05;11,4;11,5;10,9;0,32;0
08.03.2019;11,45;11,7;11,7;11,2;0,06;2,63
11.03.2019;11,8;11,7;11,8;11,4;0,05;0
12.03.2019;11,5;11,55;11,55;11,05;0,03;-1,28
13.03.2019;11,7;11,5;11,7;11,5;0,01;-0,43
14.03.2019;11,5;11,4;11,5;11;0,05;-0,87
15.03.2019;11,4;11,4;11,4;11,4;0;0
