Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-02,415,422,410.2,422,9324
2019-01-03,420,430,416.4,420,51715
2019-01-04,417.4,424,417.4,422,46192
2019-01-07,423.8,429.8,420,427,25914
2019-01-08,422.2,427.8,420.8,427.8,16103
2019-01-09,422.6,431.2,422.6,428.4,22936
2019-01-10,428.4,430,421.4,429.4,23336
2019-01-11,431.4,433.6,427.2,431.8,14304
2019-01-14,425.4,435.8,425.4,434.2,49861
2019-01-15,436,438.4,431.8,437.6,31958
2019-01-16,435.6,442,433.4,440,38120
2019-01-17,440,453,439.2,450.6,31753
2019-01-18,451,456,451,456,17829
2019-01-21,459,459,445.2,448.2,16691
2019-01-22,448,455.4,446.8,452.6,21630
2019-01-23,453,460,447.4,457.6,16291
2019-01-24,459.6,469.8,458.8,469.4,24075
2019-01-25,471.4,472,449.2,450.6,65607
2019-01-28,447,451.2,441,448,18731
2019-01-29,449,452.8,441,441,23287
2019-01-30,443,448.4,440.2,441.4,11621
2019-01-31,440,451,440,449,21181
2019-02-01,449,455,449,453,11439
2019-02-04,459,459,441.4,444.4,25940
2019-02-05,444,451.6,442.2,445,8116
2019-02-06,451,452.4,446.4,452.4,21096
2019-02-07,449.2,456.2,444.6,445,18637
2019-02-08,442.4,442.4,434.8,436,18527
2019-02-11,436.4,438,430.6,431.6,14039
2019-02-12,432.6,438.4,431.4,435,19458
2019-02-13,439.8,440,433,434.4,14924
2019-02-14,442.2,442.2,430.6,432,12898
2019-02-15,430,442.4,430,440.4,11495
2019-02-18,441.8,450,436,439.8,14254
2019-02-19,439.6,447.8,433,435,24744
2019-02-20,438.4,439,432,433.2,19981
2019-02-21,434.8,437.8,426.6,429.6,31032
2019-02-22,430,440,430,436.8,31650
2019-02-25,436.8,444.6,434.4,440.6,10915
2019-02-26,438.2,445,437,442.6,9487
2019-02-27,438.8,441.8,432.8,432.8,12677
2019-02-28,426.6,439.4,426.6,427.4,34814
2019-03-01,436.2,436.2,428,430.4,10366
2019-03-04,433.2,435.6,426.2,430,9404
2019-03-05,440,444,431.2,433.2,12798
2019-03-06,439.2,440.2,433.8,440,6965
2019-03-07,439.8,443.8,432,434,18941
2019-03-08,435.6,435.6,428,432.4,9432
2019-03-11,437.4,439.4,429.8,430.6,17244
